reference,category,type,subject,date,notifying_country,classification,risk_decision,distribution,forAttention,forFollowUp,notifying,operator,origin,hazards
"2022.1001","cereals and bakery products","food","Establecimiento no autorizado, noodles con extracto de marisco de Taiwan. Unauthorized establishment for fishery products in composite product (noodles) from Taiwan. ","21-02-2022 15:56:47","Spain","border rejection notification","undecided","","","","","","",""
"2022.0990","fish and products thereof ","food","insufficient checks (unfinished import procedures) of frozen fish from China and Poland","21-02-2022 11:01:24","European Commission","information notification for follow-up","not serious","","","","","","",""
"2022.0870","fish and products thereof ","food","metal particles in codfish from the Netherlands","15-02-2022 08:49:27","Netherlands","alert notification","serious","","","","","","",""
"2022.0840","fish and products thereof ","food","mercury detected swordfish fillet with skin","11-02-2022 15:54:06","Netherlands","information notification for attention","serious","","","","","","",""
"2022.0786","fish and products thereof ","food","Ausencia de marca identificacion y no concordancia especies en productos de la pesca de Marruecos/ Absence of identification marks absence and species mismatch in fishery products from Morocco","09-02-2022 15:43:37","Spain","border rejection notification","undecided","","","","","","",""
"2022.0785","fish and products thereof ","food","ausencia de marca identificacion y no concordancia especies en productos de la pesca de Marruecos / Abscense of identification marks and species mismatch in fishery products from Morocco","09-02-2022 15:43:15","Spain","border rejection notification","undecided","","","","","","",""
"2022.0738","soups, broths, sauces and condiments","food","Leaking packaging fish sauce","07-02-2022 17:41:06","Netherlands","information notification for follow-up","not serious","","","","","","",""
"2022.0699","fish and products thereof ","food","Mercury in swordfish from Portugal","04-02-2022 16:34:01","Spain","information notification for attention","serious","","","","","","",""
"2022.0693","prepared dishes and snacks","food","Undeclared allergen fish in seafood paella from Germany","04-02-2022 15:38:05","Germany","alert notification","serious","","","","","","",""
"2022.0618","fish and products thereof ","food","Mercury in swordfish-steaks (Xiphias gladius) from Indonesia","02-02-2022 11:41:21","Germany","information notification for attention","serious","","","","","","",""
"2022.0607","fish and products thereof ","food","Mercury in swordfish","01-02-2022 17:16:32","Netherlands","alert notification","serious","","","","","","",""
"2022.0504","cephalopods and products thereof","food","cadmium in frozen cuttlefish (Sepiella japonica) from Vietnam","26-01-2022 16:06:27","Italy","information notification for attention","serious","","","","","","",""
"2022.0217","fish and products thereof ","food","Unauthorised operator (vessel) for frozen monkfish tails (Lophius spp) and frozen scallops (Pecten maximus) from the United Kingdom","12-01-2022 16:30:45","Spain","border rejection notification","undecided","","","","","","",""
"2021.7258","bivalve molluscs and products thereof","food","Diarrhoeic Shellfish Poisoning (DSP) toxins (161 µg/kg - ppb) in live mussels (Mytilus galloprovincialis) from Italy","31-12-2021 09:45:11","Italy","alert notification","serious","","","","","","",""
"2021.7004","fish and products thereof ","food","Unauthorised operator (vessel) and improper health certificate(s) for chilled fish products from Mauritania","20-12-2021 16:41:59","Spain","border rejection notification","undecided","","","","","","",""
"2021.7000","fish and products thereof ","food","Foreign bodies (pieces of foil) in deep-frozen monkfish from Portugal ","20-12-2021 15:10:50","Germany","information notification for follow-up","not serious","","","","","","",""
"2021.6931","prepared dishes and snacks","food","Undeclared allergens fish and egg in wrap","16-12-2021 14:36:30","Netherlands","alert notification","serious","","","","","","",""
"2021.6878","fish and products thereof ","food","Too high content of benzoic acid and sorbic acid in dried fish from Russia","15-12-2021 07:44:26","Lithuania","information notification for follow-up","not serious","","","","","","",""
"2021.6831","fish and products thereof ","food","Mercury above the limits in vacuum packed long fillet of thawed swordfish (Xiphias gladius) from China","13-12-2021 12:02:18","Italy","information notification for attention","serious","","","","","","",""
"2021.6830","fish and products thereof ","food","mercury (1.6 mg/kg - ppm) in frozen swordfish ((Xiphias gladius) steaks from Spain, with raw material from Namibia","13-12-2021 11:53:13","Italy","alert notification","serious","","","","","","",""
"2021.6759","compound feeds","feed","Ruminant DNA in compound feed (fish feed) from Lithuania","09-12-2021 14:44:09","Latvia","information notification for follow-up","not serious","","","","","","",""
"2021.6704","fish and products thereof ","food","botulism case suspected to be linked to fish soup from France","07-12-2021 16:11:07","Belgium","news","serious","","","","","","",""
"2021.6505","crustaceans and products thereof","food","Semicarbazide in live crayfish (Astacus leptodactylus) from Turkey","30-11-2021 14:15:09","Germany","information notification for attention","not serious","","","","","","",""
"2021.6376","fish and products thereof ","food"," MERCURIO SUPERIORE AI LIMITI CONSENTITI IN PESCE SPADA///Mercury in frozen swordfish from Spain","24-11-2021 16:21:02","Italy","alert notification","serious","","","","","","",""
"2021.6368","fish and products thereof ","food","poor temperature control (between -7,2ºC and -14,5ºC) of frozen fish from the Falkland Islands","24-11-2021 14:39:23","Spain","border rejection notification","not serious","","","","","","",""
"2021.6293","fish and products thereof ","food","mercurio oltre i limiti consentiti in pesce spada//mercury beyond the limits allowed in swordfish","19-11-2021 17:57:46","Italy","information notification for attention","serious","","","","","","",""
"2021.6292","fish and products thereof ","food","Anisakis, peces (Lepidopus caudatus), Marruecos // Anisakis, fish (Lepidopus caudatus), Morocco","19-11-2021 17:49:05","Spain","border rejection notification","serious","","","","","","",""
"2021.6280","fish and products thereof ","food","poor temperature control (-3ºC) on frozen fish from Peru","19-11-2021 15:11:04","Spain","border rejection notification","not serious","","","","","","",""
"2021.6267","feed materials","feed","Salmonella spp. and enterobacteria in frozen ornamental fish food from Thailand","19-11-2021 11:18:30","Germany","border rejection notification","not serious","","","","","","",""
"2021.6088","fish and products thereof ","food","presenza Listeria monocytogenes in carpaccio di pesce spada affumicato ///Listeria monocytogenes in smoked swordfish carpaccio","09-11-2021 16:23:30","Italy","alert notification","serious","","","","","","",""
"2021.6058","fish and products thereof ","food","mercury (1.3 mg/kg - ppm) in defrosted swordfish from Spain","08-11-2021 19:08:43","Italy","information notification for attention","serious","","","","","","",""
